SpotPriceEUR,HourDK,HourUTC,PriceArea,SpotPriceDKK
74.44,2021-05-06T23:00:00,2021-05-06T21:00:00+00:00,DK1,553.52
80,2021-05-06T22:00:00,2021-05-06T20:00:00+00:00,DK1,594.86
85,2021-05-06T21:00:00,2021-05-06T19:00:00+00:00,DK1,632.04
92.73,2021-05-06T20:00:00,2021-05-06T18:00:00+00:00,DK1,689.52
91.01,2021-05-06T19:00:00,2021-05-06T17:00:00+00:00,DK1,676.73
78.97,2021-05-06T18:00:00,2021-05-06T16:00:00+00:00,DK1,587.21
72.5,2021-05-06T17:00:00,2021-05-06T15:00:00+00:00,DK1,539.1
64.96,2021-05-06T16:00:00,2021-05-06T14:00:00+00:00,DK1,483.03
63.05,2021-05-06T15:00:00,2021-05-06T13:00:00+00:00,DK1,468.83
60.07,2021-05-06T14:00:00,2021-05-06T12:00:00+00:00,DK1,446.67
59.01,2021-05-06T13:00:00,2021-05-06T11:00:00+00:00,DK1,438.79
61.58,2021-05-06T12:00:00,2021-05-06T10:00:00+00:00,DK1,457.9
55.08,2021-05-06T11:00:00,2021-05-06T09:00:00+00:00,DK1,409.56
54.93,2021-05-06T10:00:00,2021-05-06T08:00:00+00:00,DK1,408.45
51.06,2021-05-06T09:00:00,2021-05-06T07:00:00+00:00,DK1,379.67
70.7,2021-05-06T08:00:00,2021-05-06T06:00:00+00:00,DK1,525.71
74.92,2021-05-06T07:00:00,2021-05-06T05:00:00+00:00,DK1,557.09
68.12,2021-05-06T06:00:00,2021-05-06T04:00:00+00:00,DK1,506.53
52.65,2021-05-06T05:00:00,2021-05-06T03:00:00+00:00,DK1,391.49
53.1,2021-05-06T04:00:00,2021-05-06T02:00:00+00:00,DK1,394.84
50.16,2021-05-06T03:00:00,2021-05-06T01:00:00+00:00,DK1,372.98
48.6,2021-05-06T02:00:00,2021-05-06T00:00:00+00:00,DK1,361.38
48.95,2021-05-06T01:00:00,2021-05-05T23:00:00+00:00,DK1,363.98
47.59,2021-05-06T00:00:00,2021-05-05T22:00:00+00:00,DK1,353.87
